NKX6-3, 9071, 5.678427,0.000052,0.299631
SYCP2, 4121, 5.608178,0.000052,0.960374
TGM1, 2816, 5.438076,0.000068,0.804747
TTC39B, 9074, 5.433062,0.000068,0.734604
CLEC16A, 4799, 5.410043,0.000068,0.753086
SLC25A37, 5695, 5.379232,0.000068,0.886494
PPP3CC, 2149, 5.358700,0.000068,0.627665
STARD5, 7603, 5.342505,0.000068,0.038069
HYLS1, 9306, 5.321305,0.000068,0.528411
RORA, 2410, 5.313065,0.000068,0.450533
BAK1, 252, 5.292566,0.000068,0.935820
KCNAB3, 3523, 5.274786,0.000068,0.929305
EEPD1, 7613, 5.225838,0.000079,0.580390
CCL27, 4341, 5.211867,0.000082,0.770377
EPB41, 836, 5.197096,0.000082,0.051829
LRRC49, 6024, 5.195294,0.000082,0.190538
RNF113A, 3057, 5.155048,0.000098,0.605619
PIM1, 2041, 5.126005,0.000109,0.275490
TIFA, 8306, 5.056966,0.000140,0.033021
RHBDL3, 9115, 5.041995,0.000140,0.075603
CCR10, 1104, 5.009079,0.000153,0.466811
NT5M, 6606, 5.006056,0.000153,0.263760
FADS6, 9504, 4.999697,0.000153,0.127687
AHI1, 6013, 4.997524,0.000153,0.791414
CORO7, 7305, 4.969906,0.000168,0.201008
ANK1, 124, 4.955822,0.000176,0.937031
ESRRG, 864, 4.943822,0.000177,0.578413
SYNE4, 9127, 4.941018,0.000177,0.356901
ZNF165, 3053, 4.926521,0.000182,0.604395
INTS4P1, 9580, 4.905231,0.000190,0.173222
SEMA7A, 3222, 4.901236,0.000190,0.066476
DCPS, 5375, 4.898184,0.000190,0.972531
ABHD11, 7707, 4.873914,0.000207,0.033603
MC1R, 1622, 4.839130,0.000234,0.965965
STAG3L4, 7144, 4.829975,0.000236,0.666358
SCRT1, 7713, 4.812169,0.000254,0.405973
CKMT1B, 508, 4.794532,0.000261,0.015241
AAK1, 4593, 4.793558,0.000261,0.424496
GTF3C3, 3581, 4.760600,0.000280,0.937908
IFNLR1, 9131, 4.720714,0.000323,0.492648
LMLN, 8135, 4.708289,0.000331,0.356213
MKNK2, 1122, 4.706715,0.000331,0.656232
GHRLOS, 9994, 4.701251,0.000331,0.018386
OSBPL6, 8457, 4.694088,0.000331,0.958149
THAP10, 6585, 4.691827,0.000331,0.013510
CTSC, 477, 4.687631,0.000334,0.338681
NR1D2, 3912, 4.666022,0.000362,0.924162
GPLD1, 1101, 4.656573,0.000374,0.017587
CORO6, 8056, 4.653996,0.000374,0.271352
MRNIP, 5626, 4.651764,0.000374,0.934874
FGF9, 924, 4.649750,0.000374,0.973792
IDE, 1329, 4.633453,0.000392,0.137442
CLK3, 524, 4.624566,0.000399,0.295027
PANX2, 6559, 4.602444,0.000432,0.013269
ASB13, 7391, 4.599093,0.000433,0.907331
ABCA6, 4897, 4.593698,0.000437,0.730179
IRF2BP1, 5180, 4.588371,0.000443,0.743942
DENND1B, 9130, 4.584489,0.000444,0.052697
GPR161, 4889, 4.584114,0.000444,0.639533
PAG1, 6453, 4.580674,0.000447,0.282188
ZNF77, 6901, 4.565458,0.000472,0.358829
SLC26A6, 7156, 4.559699,0.000480,0.775741
ZYX, 3078, 4.546827,0.000501,0.201922
KIAA1841, 7945, 4.539793,0.000511,0.590810
NFIL3, 1821, 4.539000,0.000511,0.819530
ABCC1, 1702, 4.534022,0.000514,0.683617
JDP2, 8602, 4.527353,0.000525,0.016951
CEP152, 4663, 4.520568,0.000533,0.583826
DPY19L2P2, 9694, 4.513687,0.000546,0.404996
RCC2, 6492, 4.498682,0.000581,0.004228
ICA1, 1321, 4.476713,0.000620,0.029460
FAM216A, 5456, 4.475841,0.000620,0.271850
INTS9, 6416, 4.473540,0.000622,0.953240
OVGP1, 1911, 4.466782,0.000633,0.465499
FAM98B, 9501, 4.466368,0.000633,0.613763
ATXN7L2, 8675, 4.456344,0.000647,0.621961
DPY19L2, 9487, 4.455164,0.000647,0.210876
MRPS26, 7146, 4.447780,0.000664,0.842650
SEMA6D, 7500, 4.438950,0.000682,0.108355
REEP6, 8320, 4.431767,0.000699,0.522244
HECW1, 4699, 4.428747,0.000704,0.977317
BCL3, 264, 4.412133,0.000732,0.224265
LYPD5, 9521, 4.411566,0.000732,0.371308
FRAT1, 3936, 4.411038,0.000732,0.001080
GABRB2, 999, 4.406788,0.000741,0.248481
LRRC4, 7012, 4.400734,0.000751,0.776617
MSRB3, 9393, 4.389246,0.000778,0.906923
ZSWIM4, 7176, 4.384652,0.000778,0.349734
IFFO1, 5076, 4.384162,0.000778,0.207691
TSC22D1, 3384, 4.383773,0.000778,0.793008
CCDC136, 7089, 4.383025,0.000778,0.786360
MAP3K6, 3474, 4.382867,0.000778,0.068293
KRBA1, 7958, 4.369627,0.000816,0.371149
UCP3, 2946, 4.364749,0.000823,0.348978
SPIN3, 9168, 4.345152,0.000874,0.627256
SCN1A, 2513, 4.343517,0.000874,0.873616
RNLS, 6273, 4.343145,0.000874,0.467389
FAM110A, 7716, 4.341115,0.000874,0.445435
LIN9, 9599, 4.339246,0.000874,0.984278
TLE2, 2839, 4.335634,0.000883,0.004179
LYSMD4, 8897, 4.316459,0.000946,0.126240
LAG3, 1511, 4.311444,0.000962,0.170663
ZBED5, 6898, 4.309359,0.000966,0.487616
CACNB4, 345, 4.304226,0.000966,0.018372
PDE4A, 1967, 4.303842,0.000966,0.012132
CCDC58, 8751, 4.302842,0.000966,0.757363
PLEKHH3, 7483, 4.302404,0.000966,0.982325
NOP2, 1846, 4.301084,0.000966,0.810299
PRICKLE1, 8879, 4.298002,0.000966,0.015032
ST3GAL6, 4127, 4.297856,0.000966,0.072931
ABCC8, 2725, 4.295589,0.000971,0.936129
PRRT3, 9557, 4.293312,0.000975,0.077859
LCA5, 9157, 4.276596,0.001030,0.160532
ZMAT4, 7366, 4.276182,0.001030,0.049825
OSBPL5, 8456, 4.271803,0.001038,0.002500
TRMT61B, 6105, 4.266561,0.001053,0.372595
ACAN, 84, 4.259819,0.001080,0.493069
PCNX2, 7486, 4.255710,0.001089,0.522670
NR1D1, 3704, 4.255502,0.001089,0.780471
INTS8, 6360, 4.248557,0.001101,0.011331
ENTPD4, 3709, 4.248408,0.001101,0.185138
GPAT3, 7998, 4.239332,0.001131,0.776617
STK40, 7780, 4.237976,0.001131,0.571076
KCNH4, 4878, 4.235646,0.001131,0.000176
UPP1, 2955, 4.230530,0.001152,0.121290
EMX1, 826, 4.227951,0.001159,0.635490
RPGR, 2413, 4.223266,0.001173,0.425543
ZADH2, 9517, 4.223108,0.001173,0.611269
ECSIT, 5684, 4.215798,0.001200,0.975235
RSAD1, 6265, 4.213151,0.001207,0.505359
LRRK2, 8580, 4.211597,0.001207,0.605466
ATP4A, 217, 4.209116,0.001209,0.945253
SPAG4, 2670, 4.208488,0.001209,0.190998
MBNL2, 4005, 4.207700,0.001209,0.624943
L2HGDH, 7469, 4.204419,0.001221,0.370154
FAM43A, 8758, 4.193863,0.001273,0.990900
JAKMIP2, 3840, 4.189824,0.001289,0.393686
PPARGC1B, 8779, 4.186881,0.001289,0.425144
TRPC3, 2899, 4.175285,0.001341,0.145040
NAALAD2, 3925, 4.165114,0.001393,0.679803
TMEM86B, 9411, 4.158691,0.001417,0.880351
EIF5A2, 6552, 4.143931,0.001495,0.476602
HSPBAP1, 7350, 4.136980,0.001531,0.445239
PPIEL, 9981, 4.136463,0.001531,0.907692
SMC2, 4234, 4.133736,0.001539,0.566717
CCDC177, 6597, 4.133295,0.001539,0.221114
PASK, 4749, 4.131989,0.001541,0.718766
CNOT8, 3585, 4.130632,0.001544,0.001101
STIM2, 6818, 4.124296,0.001568,0.751957
SCN1B, 2514, 4.114007,0.001627,0.921652
NDRG3, 6722, 4.112667,0.001627,0.472278
CDR2L, 5515, 4.109781,0.001641,0.942058
C16orf72, 5396, 4.100252,0.001695,0.202039
SNAPC2, 2637, 4.099431,0.001695,0.576796
CDADC1, 7661, 4.097653,0.001701,0.495460
C6orf47, 6883, 4.090977,0.001742,0.300434
C9orf72, 9274, 4.090023,0.001742,0.449049
RTEL1, 5838, 4.086875,0.001754,0.842183
HDAC8, 6475, 4.081505,0.001782,0.516256
COL7A1, 553, 4.080496,0.001782,0.119352
C4orf33, 8767, 4.074546,0.001806,0.068293
SCX, 9935, 4.072624,0.001806,0.659026
AGPAT3, 6576, 4.071444,0.001806,0.540483
HSPA4L, 4579, 4.071296,0.001806,0.514565
TMEM145, 9520, 4.070943,0.001806,0.916037
STS, 184, 4.070336,0.001806,0.990740
TWNK, 6554, 4.070034,0.001806,0.373431
SFI1, 3831, 4.068556,0.001810,0.286940
PKNOX2, 6975, 4.064881,0.001823,0.404526
NFX1, 1827, 4.062142,0.001833,0.003927
MCF2L, 4795, 4.059790,0.001845,0.171215
SNHG1, 4981, 4.057906,0.001853,0.673238
TEPSIN, 8912, 4.055644,0.001864,0.620733
NCOA3, 3147, 4.053479,0.001871,0.091371
KCNT1, 6799, 4.053046,0.001871,0.926030
HS3ST1, 3907, 4.046485,0.001913,0.327970
YPEL4, 9295, 4.046067,0.001913,0.001417
DNAJC4, 1308, 4.039191,0.001956,0.058105
NUP54, 5862, 4.035191,0.001975,0.023691
MAP3K13, 3517, 4.034149,0.001975,0.090640
TMEM127, 6359, 4.033505,0.001975,0.023324
MTBP, 5273, 4.016645,0.002063,0.010476
LRFN5, 8896, 4.016175,0.002063,0.262507
ABCA7, 4102, 4.015006,0.002063,0.001806
PCNT, 1954, 4.014314,0.002063,0.961304
SLC38A2, 5907, 4.011089,0.002083,0.323316
PHYH, 2027, 4.008587,0.002094,0.978167
CAMK2G, 359, 4.005371,0.002104,0.767368
KCNH6, 7629, 4.005371,0.002104,0.769214
SCAMP1, 3679, 4.002101,0.002112,0.001664
TRPM3, 7501, 3.994747,0.002136,0.436715
PDSS1, 4958, 3.991613,0.002150,0.542156
ERICH5, 9271, 3.989298,0.002164,0.244423
PLPP7, 8004, 3.981752,0.002206,0.690385
SPART, 4717, 3.977483,0.002238,0.952924
KBTBD2, 5099, 3.972945,0.002274,0.973974
FMN2, 6564, 3.972235,0.002274,0.019663
SEC14L1, 2535, 3.965069,0.002336,0.116097
RAD54B, 5027, 3.963478,0.002344,0.136071
ALS2, 6844, 3.961407,0.002357,0.589744
C16orf45, 8147, 3.960584,0.002357,0.747637
GLS2, 5305, 3.956711,0.002374,0.615284
RET, 2370, 3.954892,0.002375,0.377233
DPY19L2P1, 9923, 3.953612,0.002375,0.017739
TMEM267, 7069, 3.948591,0.002403,0.067282
FSTL1, 4491, 3.940719,0.002476,0.639309
MACROD1, 5391, 3.939295,0.002483,0.094167
LEAP2, 8532, 3.938346,0.002485,0.610513
AMH, 115, 3.934796,0.002500,0.115937
BHLHE40, 3256, 3.934334,0.002500,0.829168
ENKD1, 7809, 3.929132,0.002529,0.362696
MRGBP, 6236, 3.926489,0.002546,0.701685
FKBP7, 5812, 3.920426,0.002599,0.152927
KLHL15, 7570, 3.916872,0.002630,0.003702
SLC15A4, 8584, 3.915527,0.002637,0.006540
PLAGL1, 2056, 3.913258,0.002654,0.002374
FOXN3, 485, 3.912440,0.002656,0.001209
FAM49B, 5781, 3.909529,0.002680,0.984464
GLCCI1, 8401, 3.903524,0.002739,0.829099
MRPL34, 7152, 3.900390,0.002759,0.967083
ZNF655, 7225, 3.898618,0.002772,0.967617
CTIF, 3829, 3.895906,0.002778,0.679947
PDIA5, 4393, 3.895274,0.002778,0.349688
SLC39A13, 8228, 3.891895,0.002794,0.384622
